         253153657 function calls (246262193 primitive calls) in 169.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      110    0.000    0.000    0.005    0.000 rcsetup.py:94(<listcomp>)
       12    0.000    0.000    0.001    0.000 enum.py:176(<setcomp>)
        1    0.000    0.000    0.036    0.036 pyparsing.py:27(<module>)
      287    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
     72/4    0.000    0.000    0.002    0.000 pyparsing.py:1835(_parseCache)
      246    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.003    0.003 pyplot.py:1953(_setup_pyplot_info_docstrings)
      174    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      448    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       91    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
       57    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
      374    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      306    0.000    0.000    0.000    0.000 rcsetup.py:123(validate_bool)
       54    0.000    0.000    0.002    0.000 __init__.py:889(_open_file_or_url)
       44    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      648    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      121    0.000    0.000    0.000    0.000 posixpath.py:71(join)
      239    0.000    0.000    0.004    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
      641    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
      246    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      780    0.000    0.000    0.001    0.000 inspect.py:513(_is_wrapper)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1466(_guarded_repr_or_str)
      711    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.021    0.011 core.py:1(<module>)
      436    0.000    0.000    0.001    0.000 posixpath.py:60(isabs)
    424/4    0.000    0.000    0.544    0.136 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      714    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     2703    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.052    0.052 rcsetup.py:1(<module>)
      169    0.000    0.000    0.000    0.000 enum.py:373(__setattr__)
     1530    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       18    0.000    0.000    0.007    0.000 rcsetup.py:860(validate_cycler)
      317    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
       27    0.000    0.000    0.012    0.000 pyparsing.py:3294(__init__)
     2138    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       56    0.000    0.000    0.001    0.000 inspect.py:3045(__str__)
     1302    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.269    0.269 pyplot.py:4(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4442(__init__)
      183    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
    63/11    0.000    0.000    0.005    0.000 pyparsing.py:4049(parseImpl)
      410    0.000    0.000    0.000    0.000 copyreg.py:90(__newobj__)
       36    0.000    0.000    0.006    0.000 __init__.py:1459(_add_data_doc)
        1    0.000    0.000    0.002    0.002 subprocess.py:1550(_execute_child)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
   114/56    0.000    0.000    0.005    0.000 pyparsing.py:3968(copy)
      739    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.011    0.011 numeric.py:1(<module>)
      144    0.000    0.000    0.006    0.000 rcsetup.py:72(f)
      368    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
     1413    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3928(streamline)
      148    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      173    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.005    0.005 subprocess.py:448(run)
        1    0.000    0.000    0.000    0.000 __init__.py:991(<listcomp>)
      164    0.000    0.000    0.000    0.000 colors.py:506(__init__)
      108    0.000    0.000    0.001    0.000 deprecation.py:226(finalize)
     1789    0.000    0.000    0.000    0.000 inspect.py:2539(kind)
       10    0.000    0.000    0.004    0.000 pyparsing.py:3140(__init__)
     56/9    0.000    0.000    0.005    0.001 pyparsing.py:3897(leaveWhitespace)
      689    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
    62/21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.016    0.016 _axes.py:97(Axes)
      948    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       27    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      173    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
        1    0.000    0.000    0.006    0.006 mathtext.py:2822(<listcomp>)
       18    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      252    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(can_cast)
       57    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      148    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       32    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
        1    0.000    0.000    0.011    0.011 cm.py:52(_gen_cmap_d)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      145    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      478    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
      432    0.000    0.000    0.000    0.000 colors.py:225(<genexpr>)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
    45/44    0.000    0.000    0.041    0.001 <frozen importlib._bootstrap_external>:1099(create_module)
      346    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
       38    0.000    0.000    0.000    0.000 colors.py:879(__init__)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 linalg.py:2170(lstsq)
        1    0.000    0.000    0.001    0.001 subprocess.py:1097(_close_pipe_fds)
      249    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       56    0.000    0.000    0.001    0.000 inspect.py:1800(_signature_bound_method)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        6    0.000    0.000    0.005    0.001 patches.py:1793(<listcomp>)
       98    0.000    0.000    0.000    0.000 codecs.py:319(decode)
